	Trump negative	Covid	economic	postal service	Care for older 	defende protests	minority problems	unemployment 	violence problemANTIFA(radical protest/liberal mob)	police  brutality	unite America	systemic racism	Obama	justice	equality	Senate	rebuild	woman 	progress	soul of this nation	change	Joe Biden positive	green	infrastructure	china	climate change	medical_care_health_care	 LGBTQ+	immigrants_openborders	voting rights	civil rights and liberties and freedom	Supreme Court 	education	children 	diversity 	small business	increase minimum wage	corruptionSwamp	safety	democracy 	troops_army_military	hate_groups_nationalism	families	Godfaith	foreign policy	Russia	gun_problem	American dream
biden230	1																			1																												
biden231	1																			1	1																											
biden232																				1																			1									
biden233	1												1																																			
biden234													1		1					1		1																		1								
biden235	1												1							1																		1										
biden236	1												1																																			
biden237	1																																															
biden238	1																					1																										
biden239	1																																															
biden240	1	1											1																									1		1					1	1		
biden241	1																										1																1					
biden242	1	1									1									1																												
biden243																				1		1												1														
biden244	1	1	1					1				1										1																										
biden245	1																																															
biden246	1	1																																														
biden247	1																	1																														
biden248	1																																															
biden249	1																																							1								
biden250		1																									1																					
biden251	1					1				1		1															1															1						
biden252	1												1									1																										
biden253													1																																			
biden254	1						1					1		1	1		1		1			1									1																	
biden255		1	1																								1																					
biden256							1											1														1																
biden257	1																																															
biden258	1																																															
biden259	1																			1																												
biden260																				1																							1					
biden261	1																																															
biden262													1																																			
biden263	1																																					1									1	
biden264	1																			1																												
biden265										1		1			1			1		1																												1
biden266	1	1					1	1									1	1		1		1																										
biden267	1																			1																												
biden268	1										1																																					
biden269	1																																															
biden270	1																																															
biden271	1																																															
biden272	1																																															
biden273	1																					1																										
biden275	1																																															
biden276	1																																															
biden277	1	1																									1						1						1									
biden278	1																																															
biden279	1																																															
biden280	1																					1																										
biden281	1																					1																				1						
biden282	1																																															
biden283	1																																															
biden284	1																					1																										
biden285	1																																															
biden286	1																					1																										
biden287	1																					1																										
biden288	1																			1																												
biden289	1																1			1																												
biden290	1																																															
biden291	1															1																																
biden292	1																					1																										
biden293	1	1	1									1								1		1																										
biden294	1			1																										1																		
biden295	1																																															
biden296	1																																															
biden297	1																					1																										
biden298				1																										1																		
biden299																				1		1																										
biden300											1											1																										
biden301		1																				1					1																					
biden302	1																				1																											
biden303	1																																															
biden304	1												1							1																												
biden305	1																																															
biden306													1																																			
biden307	1		1									1		1	1		1	1	1	1			1			1	1	1	1																		1	
biden308			1					1									1						1			1	1												1									
biden309																											1																					
biden310	1																																															
biden311	1																																															
biden312	1																																															
biden313	1																																															
biden314	1																					1																										
biden315	1	1																				1																										
biden316			1				1	1				1			1								1						1								1											
biden317	1																																															
biden318	1																																															
biden319	1																																															
biden320	1																					1																										
biden321	1																																															
biden322													1																																			
biden323													1		1				1								1				1																	
biden324	1																																															
biden325	1																																															
biden326	1												1																																			
biden327																1						1																										
