	Trump negative	Covid	economic	postal service	Care for older 	defende protests	minority problems	unemployment 	violence problemANTIFA(radical protest/liberal mob)	police  brutality	unite America	systemic racism	Obama	justice	equality	Senate	rebuild	woman 	progress	soul of this nation	change	Joe Biden positive	green	infrastructure	china	climate change	medical_care_health_care	 LGBTQ+	immigrants_openborders	voting rights	civil rights and liberties and freedom	Supreme Court 	education	children 	diversity 	small business	increase minimum wage	corruptionSwamp	safety	democracy 	troops_army_military	hate_groups_nationalism	families	Godfaith	foreign policy	Russia	gun_problem	American dream	conservative	MAGA	liberal elite/political establishment	Trump positive	patriotism	American People	Fake News	Biden negative	Harris negative	Radical Socialists/left	medical efficency/deal with covid	America FIRST 	voter fraud	censorship_big tech_corp	taxes and regulations/big gov	Impeachment WITCH HUNT	terrorists	immigrant problemWALL	constitution	pro life/unborn	rule of law/police support	defend America	working people/class	stimulus check	poverty	Forbid debt 	democrats do not enough	republican negative	war budget	oil, gas and coal companies negative	rich people	Green New Deal	political revolution and transforming 	tax the rich	 criminal system reform 	labor union	housing/homeless problem	democratic socialism	science	sexism	Muslim 	student debt	racial justice	religious bigoty	failed war on drugs/legalize	transform America	capitalism 	authoritarianism	peace	lobbyists 	
trump150																																																													1																																						
trump151																																																				1	1																																														
trump152																1																																										1					1							1																													
trump153																																																						1							1																																						
trump154																																																					1					1					1			1																																	
trump155								1																															1											1		1	1	1	1	1		1			1																																						
trump156																																																								1	1																																										
trump157																																																				1		1																																													
trump158																1																																					1					1																																									
trump159																																																				1						1			1																																						
trump160																																							1				1										1	1				1			1																																						
trump161																																							1																																																												
trump162																																									1									1		1											1		1	1																																	
trump163																																									1									1		1											1		1	1																																	
trump164																															1																	1		1			1	1				1																																									
trump165																																																					1		1																																												
trump166																																																													1																																						
trump167																																																						1				1			1									1																													
trump168		1																																																1		1		1																																													
trump169																																														1					1				1	1																																											
trump170																																1																		1																																																	
trump171																																																		1		1	1																																														
trump172																																																		1		1																																															
trump173																																																		1				1		1	1																																										
trump174																																																				1	1	1																																													
trump175									1																							1																				1																																															
trump176																																																		1		1			1	1	1																																										
trump177																																																		1		1	1																																														
trump178																																																				1		1		1		1																																									
trump179																																																													1																																						
trump180																																						1												1			1																	1																													
trump181																																																						1				1			1																																						
trump182																									1													1																	1	1						1																																					
trump183																																																				1																																															
trump184																																1																																			1																																
trump185																																																				1									1																																						
trump186																																																				1	1																																														
trump187																																																			1	1		1		1		1																																									
trump188																																																			1	1		1		1		1																																									
trump189																																																		1																																																	
trump190																																																			1		1																																														
trump191																																							1											1		1																																															
trump192																																																				1		1																																													
trump193																																																													1																																						
trump194																																																						1			1						1			1		1	1																														
trump195																																																						1			1																																										
trump196																																																				1																																															
trump197		1																																																1		1	1						1																																								
trump198																																1						1													1			1	1			1						1																																			
trump199																																1						1													1			1	1			1						1																																			
trump200																																																		1				1																																													
trump201																																																								1	1	1			1	1																																					
trump202																																						1												1		1				1	1	1		1																																							
trump203																																						1												1		1				1	1	1		1																																							
trump204								1																	1																															1	1	1		1																																							
trump205																																																								1																																											
trump206								1																	1																															1	1	1		1																																							
trump207																1															1																					1								1			1			1	1																																
trump208			1																																																	1				1	1	1								1	1																																
trump209																																																			1		1			1		1			1																																						
trump210																																																															1				1																																
trump211																																						1													1	1						1																																									
trump212																															1																														1																																						
trump213																																																		1			1																																														
trump214			1					1																								1						1						1	1				1	1		1				1	1	1							1			1																															
trump215			1					1																								1						1						1	1				1	1		1				1	1	1							1			1																															
trump216																																									1													1			1	1	1				1					1																															
trump217																																																		1				1																																													
trump218																																																					1					1					1			1			1																														
trump219																																																																																																			
trump220																																																		1				1																																													
trump221			1																													1							1												1	1	1	1	1	1		1																																									
trump222																															1																					1		1		1	1	1																																									
trump223																																																		1		1				1		1																																									
trump224																																																				1	1			1	1													1																													
trump225																																																				1	1			1	1													1																													
trump226																															1																					1	1	1				1			1																																						
trump227																																																					1		1			1			1																																						
trump228																																																				1									1																																						
